# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 914 6 18818 1577
p 2 0 916 4 18566 1566
p 2 0 914 6 18792 1569
p 2 0 917 3 18212 1561
p 2 1 913 6 18444 1558
p 2 0 917 3 18464 1559
p 2 0 915 5 18105 1553
p 2 1 913 6 18635 1564
p 2 0 918 2 18087 1557
p 2 0 918 2 18517 1566
p 2 0 910 10 18322 1553
p 2 1 916 3 18032 1566
p 2 0 905 15 18428 1563
p 2 0 915 5 18349 1562
p 2 0 919 1 18132 1571
p 2 0 918 2 18195 1566
p 2 1 913 6 18068 1574
p 2 0 914 6 18434 1582
p 2 0 920 0 17463 1564
p 2 0 920 0 17788 1575
p 2 0 917 3 17657 1571
p 2 0 915 5 17357 1566
p 2 0 916 4 17702 1578
p 2 0 917 3 17114 1569
p 2 0 919 1 17348 1571
p 2 0 918 2 16977 1577
p 2 0 915 5 17038 1561
p 2 0 919 1 17198 1570
p 2 0 912 8 17277 1563
p 2 0 918 2 16687 1568
p 2 1 912 7 16894 1561
p 2 0 919 1 16539 1570
p 2 0 916 4 16044 1544
p 2 0 919 1 15962 1564
p 2 0 909 11 15952 1539
p 2 0 920 0 15561 1560
p 2 0 916 4 15828 1551
p 2 0 919 1 15348 1547
p 2 0 910 10 15716 1531
p 2 0 917 3 15098 1537
p 2 1 914 5 15391 1529
p 2 0 917 3 14788 1530
p 2 1 915 4 15286 1529
p 2 0 917 3 14739 1537
p 2 1 912 7 15029 1525
p 2 2 909 9 14563 1532
p 2 0 916 4 14925 1525
p 2 0 916 4 14512 1501
p 2 1 914 5 14751 1500
p 2 2 915 3 14727 1533
p 2 1 910 9 14480 1512
p 2 0 918 2 14964 1535
p 2 0 914 6 14364 1512
p 2 0 919 1 13899 1522
p 2 1 913 6 14161 1521
p 2 0 917 3 14169 1526
p 2 0 916 4 13878 1507
p 2 0 918 2 14054 1531
p 2 2 916 2 14107 1512
p 2 0 919 1 13865 1495
p 2 0 916 4 14128 1492
p 2 0 916 4 14097 1536
p 2 0 915 5 14740 1506
p 2 0 919 1 15396 1523
p 2 0 918 2 15533 1514
p 2 1 918 1 15516 1528
p 2 0 920 0 15487 1516
p 2 0 919 1 15395 1535
p 2 0 918 2 15885 1535
p 2 0 920 0 15217 1536
p 2 0 920 0 15178 1522
p 2 0 918 2 14474 1526
p 2 0 918 2 13500 1514
p 2 2 917 1 12917 1539
i 2 920 0 0 37576 4173
p 2 0 423 497 757 577
p 2 0 396 524 792 553
p 2 0 302 618 2527 516
p 2 0 266 654 808 430
p 2 0 225 695 679 390
p 2 0 193 727 2399 407
p 2 0 173 747 757 348
p 2 0 190 730 660 352
p 2 0 230 690 2537 448
p 2 0 187 733 786 360
p 2 0 149 771 640 320
p 2 0 180 740 2345 401
p 2 0 146 774 736 326
p 2 0 143 777 817 316
p 2 0 198 722 2772 420
p 2 0 180 740 803 358
p 2 0 157 763 654 328
p 2 0 162 758 2686 389
p 2 0 174 746 782 353
p 2 0 126 794 595 299
p 2 0 193 727 3020 436
p 2 0 183 737 806 359
p 2 0 137 783 636 310
p 2 0 158 762 1642 351
p 2 0 157 763 746 332
p 2 0 150 770 657 322
p 2 0 159 761 1608 348
p 2 0 139 781 714 317
p 2 0 119 801 602 297
p 2 0 185 735 2254 382
p 2 0 148 772 711 317
p 2 0 137 783 645 308
p 2 0 140 780 804 312
p 2 0 120 800 657 296
p 2 0 109 811 568 282
p 2 0 114 806 735 290
p 2 0 125 795 677 299
p 2 0 128 792 597 300
p 2 0 148 772 1742 359
p 2 0 163 757 742 340
p 2 0 130 790 604 298
p 2 0 161 759 1683 368
p 2 0 139 781 702 317
p 2 0 111 809 616 291
p 2 0 146 774 1819 354
p 2 0 141 779 709 314
p 2 0 131 789 622 305
p 2 0 146 774 1663 351
p 2 0 113 807 623 289
p 2 0 110 810 565 283
p 2 0 132 788 1673 337
p 2 0 137 783 661 314
p 2 0 115 805 555 289
p 2 0 146 774 1651 349
p 2 0 123 797 620 300
p 2 0 116 804 573 293
p 2 0 131 789 1707 343
p 2 0 133 787 658 311
p 2 0 116 804 592 292
p 2 0 149 771 2527 376
p 2 0 141 779 689 318
p 2 0 115 805 584 292
p 2 0 165 755 2384 383
p 2 0 156 764 752 340
p 2 0 113 807 573 288
p 2 0 165 755 2641 392
p 2 0 143 777 671 320
p 2 0 109 811 573 284
p 2 0 153 767 2906 393
p 2 0 135 785 696 316
p 2 0 122 798 609 298
p 2 0 147 773 2244 350
p 2 0 127 793 677 304
p 2 0 112 808 560 286
p 2 0 116 804 858 291
p 2 0 116 804 595 291
p 2 0 113 807 576 288
p 2 0 106 814 764 286
p 2 0 106 814 602 282
p 2 0 104 816 550 273
p 2 0 120 800 801 298
p 2 0 125 795 635 297
p 2 0 96 824 492 269
i 2 920 0 0 19096 3538
p 2 2 840 78 11029 1333
p 2 0 716 204 3381 903
p 2 0 517 403 3940 674
p 2 1 554 365 12271 948
p 2 0 456 464 4478 625
p 2 0 303 617 4141 483
p 2 1 487 432 12834 883
p 2 0 410 510 4582 595
p 2 0 233 687 4092 421
p 2 29 458 433 18404 1205
p 2 0 342 578 4364 539
p 2 48 451 421 19275 1311
p 2 0 347 573 4297 547
p 2 0 267 653 878 433
p 2 0 496 424 11819 961
p 2 0 343 577 1061 517
p 2 0 449 471 9752 839
p 2 0 342 578 1091 516
p 2 0 182 738 487 340
p 2 1 398 521 9393 772
p 2 0 328 592 1075 504
p 2 0 181 739 1650 380
p 2 0 315 605 1049 486
p 2 0 165 755 542 331
p 2 1 205 714 1774 400
p 2 0 176 744 512 335
p 2 0 224 696 725 389
p 2 0 199 721 1418 377
p 2 0 129 791 392 292
p 2 0 90 830 320 254
p 2 1 122 797 1484 323
p 2 0 87 833 346 252
p 2 0 179 741 590 342
p 2 1 119 800 1414 325
p 2 0 107 813 372 271
p 2 0 92 828 315 258
p 2 1 129 790 1802 335
p 2 0 91 829 358 261
p 2 0 147 773 495 311
p 2 0 180 740 1390 356
p 2 0 115 805 374 279
p 2 0 105 815 360 270
p 2 1 136 783 1474 332
p 2 0 131 789 451 296
p 2 0 125 795 358 284
p 2 0 96 824 1254 291
p 2 0 80 840 375 251
p 2 0 108 812 356 276
p 2 1 109 810 1422 303
p 2 0 109 811 405 276
p 2 0 111 809 355 273
p 2 0 92 828 1221 284
p 2 0 87 833 338 254
p 2 0 67 853 270 232
p 2 1 96 823 1428 300
p 2 0 109 811 404 276
p 2 0 102 818 330 266
p 2 0 86 834 1206 274
p 2 0 59 861 301 230
p 2 0 91 829 324 255
p 2 0 99 821 1150 289
p 2 0 76 844 318 243
p 2 0 53 867 245 221
p 2 0 362 558 8550 716
p 2 0 238 682 820 413
p 2 0 128 792 433 293
p 2 0 412 508 8719 773
p 2 0 273 647 906 439
p 2 0 171 749 514 332
p 2 1 357 562 8424 701
p 2 0 239 681 844 413
p 2 0 149 771 458 313
p 2 0 353 567 9229 719
p 2 0 264 656 886 437
p 2 0 266 654 815 422
p 2 1 171 748 2025 378
p 2 0 161 759 499 325
p 2 0 171 749 572 333
p 2 0 162 758 1402 342
p 2 0 110 810 398 279
p 2 0 114 806 351 272
p 2 0 128 792 1539 317
p 2 0 107 813 388 272
p 2 0 46 874 250 214
p 2 38 378 504 17921 1282
p 2 0 282 638 939 477
p 2 0 208 712 518 379
p 2 6 368 546 12277 955
p 2 0 335 585 993 512
p 2 0 202 718 507 367
p 2 5 399 516 12776 953
p 2 0 272 648 976 456
p 2 0 263 657 2418 447
p 2 9 398 513 15636 1008
p 2 0 302 618 4010 519
p 2 0 226 694 3937 413
p 2 5 399 516 16843 985
p 2 0 290 630 4204 497
p 2 0 240 680 4139 433
p 2 12 372 536 15711 1013
p 2 0 302 618 4046 545
p 2 0 245 675 3586 451
p 2 26 434 460 15466 1207
p 2 0 352 568 1921 625
i 2 920 0 0 23810 3611
p 2 4 908 8 7382 1367
p 2 180 723 17 19952 2527
p 2 8 893 19 7834 1433
p 2 52 808 60 21022 2219
p 2 7 886 27 8617 1402
p 2 4 840 76 15115 1671
p 2 2 877 41 6793 1326
p 2 1 867 52 11505 1488
p 2 0 875 45 6971 1233
p 2 0 858 62 4185 1131
p 2 0 838 82 10927 1375
p 2 0 623 297 1708 807
p 2 3 722 195 7221 1076
p 2 0 506 414 1469 683
p 2 1 640 279 6743 982
p 2 0 511 409 1560 678
p 2 3 591 326 6276 910
p 2 0 418 502 1335 585
p 2 0 567 353 6450 892
p 2 0 451 469 1399 614
p 2 3 605 312 6286 911
p 2 0 406 514 1385 580
p 2 1 515 404 6520 858
p 2 0 422 498 1293 578
p 2 3 672 245 6407 969
p 2 0 393 527 1339 578
p 2 0 563 357 6520 892
i 2 920 0 0 47527 4231
p 2 0 920 0 9051 1394
p 2 0 919 1 11389 1382
p 2 0 920 0 13234 1396
p 2 0 920 0 14604 1426
p 2 0 919 1 13724 1406
p 2 0 920 0 15106 1433
p 2 0 920 0 14262 1398
p 2 0 920 0 15382 1429
p 2 0 919 1 14133 1412
p 2 0 920 0 15445 1427
p 2 0 919 1 14566 1421
p 2 0 920 0 15386 1423
p 2 0 920 0 14185 1424
p 2 0 920 0 13889 1448
p 2 0 920 0 13299 1445
p 2 0 920 0 13467 1430
p 2 0 919 1 12727 1425
p 2 0 920 0 13557 1427
p 2 0 919 1 12484 1410
p 2 0 920 0 13142 1441
p 2 0 920 0 12640 1420
